SYM;RIC;DES;IQUO;BBG_parsekey;FIGI;JPM_DQ;CTY;WBK_GDP_PPP;GDP_PER_CAP;REER;PPP;IMF_GDP_PPP;TBAL;IRS_3MTH;EQT_IDX_USD;GDP;INFL;EHPI_INFL;XRPT;IMPR;GEO1;GEO2;TRD_YES;NDF;TRD_TIME;GEO3;DBFXUCCY;TBAL_CUR;TBAL_QUOTE_UNITS;JPM_CCY;EQT_IDX_LOC;FRD_1M;CRI;FRD_I1M;SWP_1M;CESI
RONUSD Curncy;RON=;Romanian Leu;FALSE;USDRON BGN CURNCY;;RON;RO;PPPGGDRO Index;WBGDPRO Index;JBDCRON Index;IPPPROU Index;IPPGROU Index;ROTBAL Index;BUBR3M Index;MSEIROLN Index;RODPL Index;ROCOPYOY Index;EHPIROY Index;ROTBEXP Index;ROTBIMP Index;EME;EUROPE;NOP;DELIV;15:00 UTC;EU;;EUR;MILLIONS;RON;BET Index;RON1M Curncy;RONUSDCR Curncy;RONI1M Curncy;EURNSW2 Curncy;CESIRON Index
RUBUSD Curncy;RUB=;Russian Ruble;FALSE;USDRUB BGN CURNCY;;RUB;RU;PPPGGDRU Index;WBGDPRU Index;JBDCRUB Index;IPPPRUS Index;IPPGRUS Index;RUTBAL Index;RRDRC Curncy;NDELSRU Index;RUDPGL Index;RUCPIYOY Index;EHPIRUY Index;RUTBEX Index;RUTBIM Index;EME;EUROPE;NOP;DELIV;15:00 UTC;EU;;USD;BILLIONS;RUB;MOEX10 Index;RUB1M Curncy;RUBUSDCR Curncy;RUBI1M Curncy;RRSO1 Curncy;CESIRUB Index
ZARUSD Curncy;ZAR=;South African Rand;FALSE;USDZAR BGN CURNCY;;ZAR;ZA;PPPGGDZA Index;WBGDPZA Index;JBDCZAR Index;IPPPZAF Index;IPPGZAF Index;SATBAL Index;JIBA3M Index;NDELSSA Index;SACGDP Index;SACPIYOY Index;EHPIZAY Index;SATBEX Index;SATBIM Index;EME;AFRICA;YES;DELIV;15:00 UTC;AF;;ZAR;BILLIONS;ZAR;TOP40 Index;ZAR1M Curncy;ZARUSDCR Curncy;ZARI1M Curncy;SASW1 Curncy;CESIZAR Index
SGDUSD Curncy;SGD=;Singapore Dollar;FALSE;USDSGD BGN CURNCY;;SGD;SG;PPPGGDSG Index;WBGDPSG Index;JBDCSGD Index;IPPPSGP Index;IPPGSGP Index;5767979 Index;SGDA3M Index;NDDLSG Index;SGDPCURR Index;SICPIYOY Index;EHPISGY Index;SIEXP Index;SIIMP Index;DEV;ASIA;YES;DELIV;15:00 UTC;AS;;USD;MILLIONS;SGD;STI Index;SGD1M Curncy;SGDUSDCR Curncy;SGDI1M Curncy;SDSOA1 Curncy;CESISGD Index
SEKUSD Curncy;SEK=;Swedish Krona;FALSE;USDSEK BGN CURNCY;;SEK;SE;PPPGGDSE Index;WBGDPSE Index;JBDCSEK Index;IPPPSWE Index;IPPGSWE Index;SWTBAL Index;STIB3M Index;NDDLSW Index;WGDPSWED Index;SWCPIYOY Index;EHPISEY Index;SWTBEX Index;SWTBIM Index;DEV;EUROPE;YES;DELIV;15:00 UTC;EU;;SEK;BILLIONS;SEK;OMX Index;SEK1M Curncy;SEKUSDCR Curncy;SEKI1M Curncy;SKSW1 Curncy;CESISEK Index
CHFUSD Curncy;CHF=;Swiss Franc;FALSE;USDCHF BGN CURNCY;;CHF;CH;PPPGGDCH Index;WBGDPCH Index;JBDCCHF Index;IPPPCHE Index;IPPGCHE Index;SZTBAL Index;CHFI3M Curncy;NDDLSZ Index;WGDPSWIT Index;SZCPIYOY Index;EHPICHY Index;SZTBEX Index;SZTBIM Index;DEV;EUROPE;YES;DELIV;15:00 UTC;EU;;CHF;MILLIONS;CHF;SMI Index;CHF1M Curncy;CHFUSDCR Curncy;CHFI1M Curncy;SFSNT1 Curncy;CESICHF Index
THBUSD Curncy;THB=;Thai Baht;FALSE;USDTHB BGN CURNCY;;THB;TH;PPPGGDTH Index;WBGDPTH Index;JBDCTHB Index;IPPPTHA Index;IPPGTHA Index;THCTTB Index;BBLT3MD Index;NDELTHF Index;THGPC$Q Index;THCPIYOY Index;EHPITHY Index;THXVTTL Index;THIETTL Index;EME;ASIA;YES;DELIV;08:45 UTC;AS;;USD;BILLIONS;THB;SET Index;THB1M Curncy;THBUSDCR Curncy;THBI1M Curncy;TBSWI1 Curncy;CESITHB Index
TRYUSD Curncy;TRY=;Turkish Lira;FALSE;USDTRY BGN CURNCY;;TRY;TR;PPPGGDTR Index;WBGDPTR Index;JBDCTRY Index;IPPPTUR Index;IPPGTUR Index;TUTBAL Index;TRLIB3M Index;NDELTUR Index;TUGPCU Index;TUCPIY Index;EHPITRY Index;TUTBEX Index;TUTBIM Index;EME;EUROPE;NOP;DELIV;15:00 UTC;EU;;USD;MILLIONS;TRY;XU100 Index;TRY1M Curncy;TRYUSDCR Curncy;TRYI1M Curncy;TYSO1 Curncy;CESITRY Index
TWDUSD Curncy;TWD=;Taiwan Dollar;FALSE;USDTWD BGN CURNCY;;TWD;TW;PPPGGDTW Index;WBGDPTW Index;JBDCTWD Index;IPPPTWN Index;IPPGTWN Index;TWTRBAL Index;TAIBOR3M Index;NDELSTW Index;TWGDPCUR Index;TWCPIY Index;EHPITWY Index;TWTREXP Index;TWTRIMP Index;EME;ASIA;YES;NDF;07:55 UTC;AS;;USD;MILLIONS;TWD;TWSE Index;NTN+1M Curncy;TWDUSDCR Curncy;NTNI1M Curncy;TDUSNI1 Curncy;CESITWD Index
GBPUSD Curncy;GBP=;British Pound;FALSE;GBPUSD BGN CURNCY;;GBP;GB;PPPGGDGB Index;WBGDPGB Index;JBDCGBP Index;IPPPGBR Index;IPPGGBR Index;UKTBTTBA Index;BP0003M Index;NDDLUK Index;UKGRYBHA Index;UKRPCJYR Index;EHPIGBY Index;UKTBTTEX Index;UKTBTTIM Index;DEV;EUROPE;YES;DELIV;15:00 UTC;EU;;GBP;MILLIONS;GBP;UKX Index;GBP1M Curncy;GBPUSDCR Curncy;GBPI1M Curncy;BPSWS1 Curncy;CESIGBP Index
USDUSD Curncy;USD=;US Dollar;FALSE;USDUSD BGN CURNCY;;USD;US;PPPGGDUS Index;WBGDPUS Index;JBDCUSD Index;IPPPUSA Index;IPPGUSA Index;USTBTOT Index;USGG3M Index;NDDUUS Index;WGDPUS Index;CPI YOY Index;EHPIUSY Index;USTBEXP Index;USTBIMP Index;-;-;NOP;-;15:00 UTC;-;;USD;BILLIONS;USD;SPX Index;USD1M Curncy;USDUSDCR Curncy;USDI1M Curncy;USOSFR1 Curncy;CESIUSD Index
EURUSD Curncy;EUR=;Euro;FALSE;EURUSD BGN CURNCY;;EUR;EU;PPPGGDEU Index;WBGDPEU Index;JBDCEUR Index;IPPPDEU Index;IPPGDEU Index;XTTBEZ Index;EUR003M Index;NDDLE15 Index;EUGDEMU Index;ECCPEMUY Index;EHPIEUY Index;XTTXEZ Index;XTTIEZ Index;DEV;EUROPE;YES;DELIV;15:00 UTC;EU;;EUR;MILLIONS;EUR;SX5E Index;EUR1M Curncy;EURUSDCR Curncy;EURI1M Curncy;EUSA1 Curncy;CESIEUR Index
INRUSD Curncy;INR=;Indian Rupee;FALSE;USDINR BGN CURNCY;;INR;IN;PPPGGDIN Index;WBGDPIN Index;JBDCINR Index;IPPPIND Index;IPPGIND Index;INMTBAL$ Index;IYTB3M Index;NDELSIA Index;WGDPINDI Index;EHPIIN Index;EHPIINY Index;INMTEXU$ Index;INMTIMU$ Index;EME;ASIA;YES;NDF;09:55 UTC;AS;;USD;MILLIONS;INR;NIFTY Index;IRN+1M Curncy;INRUSDCR Curncy;IRNI1M Curncy;IRSWMM2 Curncy;CESIINR Index
